id,labels
8598,311
8256,878
2131,864
866,1162
7200,356
10494,728
9081,225
8211,89
12824,407
7104,221
12513,427
250,1078
5911,1012
10106,487
6422,539
10932,960
12326,1155
6215,501
9906,781
9191,677
11058,324
2640,17
11182,31
5278,833
17,370
9162,250
10115,406
325,208
7693,685
10708,1039
7387,515
8414,143
9812,688
3576,381
7715,1037
8945,804
9843,1068
7347,1209
481,1136
2783,814
152,336
6233,159
7220,346
5618,742
8080,859
11468,1152
11007,293
8570,189
7454,1177
11087,1067
10117,559
2952,961
10504,500
3887,8
4697,614
7240,491
5486,714
3924,607
8327,967
4804,1177
5004,691
10124,896
10520,348
221,407
10043,804
4021,242
10685,569
8668,1198
2980,787
4504,437
12764,995
7830,717
12117,664
9183,625
12871,964
11847,43
9736,41
3301,499
6580,737
3131,242
5566,583
3082,705
7967,404
10588,484
838,135
12558,251
610,557
9317,422
9227,1166
8317,62
11877,99
6669,1005
4776,396
8422,131
4531,780
10798,842
4001,1029
909,750
11902,190
3620,1162
8379,908
10714,1159
6656,1085
667,684
4194,91
9117,611
10470,191
10986,999
4550,770
3011,1058
2258,395
9645,299
10382,991
7380,918
3251,507
3467,1188
5831,155
855,545
6935,534
11309,360
7312,753
4182,289
5603,388
10876,1025
3262,500
7528,166
7088,517
7497,734
9473,754
3954,601
7070,194
7406,330
9942,292
4385,764
1901,559
9728,865
8082,879
11638,572
9189,167
7444,1135
11086,199
9885,873
4810,1111
9711,85
1666,1047
4039,536
12129,882
2506,565
7472,511
5310,144
285,570
7881,633
1610,606
4632,621
11719,729
1271,573
9482,672
9622,407
7486,661
4748,353
4111,958
10222,878
4322,928
76,97
6638,1167
2063,27
6590,425
4595,97
6517,971
3553,423
7609,258
10553,1162
1623,1008
5940,734
1373,116
850,65
2482,773
10129,486
9788,785
11319,453
6018,36
2968,553
9856,9
5263,613
3158,100
8545,683
3058,665
10699,1009
9845,23
4365,171
5830,1028
6724,406
6574,975
501,295
5364,696
5393,1080
8243,1077
11001,1069
12384,860
9102,693
5866,373
7918,327
73,1066
10460,907
4699,514
8029,977
746,867
12553,780
9287,778
1142,1015
1427,69
3390,36
3388,902
6408,176
6791,150
1200,960
4174,1193
4710,1162
8174,1043
6617,834
1381,996
12559,100
2668,775
11990,760
4941,130
323,797
1763,1159
2186,625
3096,1193
24,378
4250,154
9525,891
1581,246
9088,327
2496,143
7966,317
10293,1091
840,600
2144,384
10344,925
9620,539
11041,911
8078,883
10201,848
1932,100
12731,1041
11557,1113
9868,490
6711,562
11728,32
1723,105
11094,1133
1270,42
6732,706
9033,223
8017,327
1511,171
6644,367
935,589
10797,1065
9926,936
4557,381
444,506
2663,654
9221,877
5833,683
8611,803
11581,1160
6463,1167
3634,538
1336,1021
4249,28
6474,689
6959,76
3181,850
9364,1136
4735,499
7684,709
2434,406
8557,654
4326,105
3501,779
121,562
2014,8
927,1110
3373,215
9630,1089
6402,1094
9642,596
926,541
12844,519
12237,649
9572,1180
1334,23
12344,411
8238,1177
3517,1150
7348,136
5950,972
11673,723
3830,992
735,386
9805,784
10077,232
803,712
2166,870
1921,515
6118,1199
6108,26
9672,678
6177,53
12494,385
7515,469
9086,141
10010,937
107,743
12095,45
11047,800
4093,471
5414,493
10901,969
10046,919
12552,992
2562,205
1694,766
5162,1074
8436,336
10394,1021
8240,511
9616,405
732,1097
1049,961
12067,1115
8500,1186
7842,540
8417,517
12508,928
7868,4
6341,311
8900,306
1251,425
1363,994
5014,878
1506,421
2294,966
4470,106
3655,134
1936,4
1446,1112
10456,1077
12191,342
7807,1207
5559,661
9010,898
730,662
5654,555
10896,588
1766,415
515,528
10455,1171
10755,222
9514,741
9666,421
4910,1102
1161,9
4724,827
3266,735
1293,1075
11383,186
9869,346
8233,723
10287,349
11818,620
9797,387
11952,1064
5037,282
2725,1167
8740,82
8409,758
10513,250
11239,937
266,1037
12644,114
10351,797
5796,248
5247,276
64,469
7541,630
7618,579
6827,1100
7203,716
4288,270
2526,906
4742,457
10994,793
2397,811
10841,1054
3168,880
12148,930
